Free_Text
"Pasien Rahmat Widodo, KTP 3276010101010004, 52 tahun, perempuan, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 081987654321, golongan darah A, nomor rekam medis 727106, datang pada 10/09/2023. Diperiksa oleh Dr. Farida Lestari, KTP 3173010202020004. Keluhan: hipertensi, keluhan tambahan: sesak napas. disarankan mengubah pola makan. Dokter rujukan: Dr. Hasan. keluhan masih tetap dirasakan, perlu observasi lebih lanjut"
"Pasien Wawan Purnomo, KTP 3276010101010009, 62 tahun, perempuan, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 081234567890, golongan darah B, nomor rekam medis 870412, datang pada 11/09/2023. Diperiksa oleh Dr. Andika Pratama, KTP 3173010202020003. Keluhan: migrain, keluhan tambahan: nyeri kepala. diberikan suplemen zat besi. Dokter rujukan: Dr. Hasan. direkomendasikan untuk menjaga pola makan dan olahraga"
"Pasien Nita Susanti, KTP 3276010101010005, 25 tahun, laki-laki, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 081987654321, golongan darah O, nomor rekam medis 988159, datang pada 20/08/2023. Diperiksa oleh Dr. Rini Maharani, KTP 3173010202020008. Keluhan: hipertensi, keluhan tambahan: sulit tidur. disarankan mengubah pola makan. Dokter rujukan: Dr. Dian. keluhan masih tetap dirasakan, perlu observasi lebih lanjut"
"Pasien Rahmat Widodo, KTP 3276010101010001, 32 tahun, laki-laki, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 085643217890, golongan darah A, nomor rekam medis 684902, datang pada 2/08/2023. Diperiksa oleh Dr. Farida Lestari, KTP 3173010202020005. Keluhan: anemia, keluhan tambahan: sesak napas. diberikan inhaler. Dokter rujukan: Dr. Dian. keluhan sudah berkurang setelah pengobatan"
"Pasien Tono Suryono, KTP 3276010101010003, 39 tahun, laki-laki, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 082234567654, golongan darah AB, nomor rekam medis 151576, datang pada 17/09/2023. Diperiksa oleh Dr. Budi Santoso, KTP 3173010202020006. Keluhan: diabetes mellitus tipe 2, keluhan tambahan: kelelahan. direkomendasikan fisioterapi. Dokter rujukan: Dr. Diah. perlu dilakukan tes darah ulang"
"Pasien Rahmat Widodo, KTP 3276010101010009, 35 tahun, laki-laki, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 081234567890, golongan darah O, nomor rekam medis 899178, datang pada 15/08/2023. Diperiksa oleh Dr. Aditya Widjaja, KTP 3173010202020001. Keluhan: gagal jantung, keluhan tambahan: sulit tidur. diberikan antihistamin. Dokter rujukan: Dr. Dian. keluhan masih tetap dirasakan, perlu observasi lebih lanjut"
"Pasien Lestari Nugroho, KTP 3276010101010007, 20 tahun, laki-laki, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 081987654321, golongan darah A, nomor rekam medis 234811, datang pada 10/09/2023. Diperiksa oleh Dr. Sari Utami, KTP 3173010202020008. Keluhan: infeksi saluran pernapasan, keluhan tambahan: sakit pinggang. direkomendasikan fisioterapi. Dokter rujukan: Dr. Diah. akan dirujuk ke spesialis untuk evaluasi lebih lanjut"
"Pasien Dewi Santika, KTP 3276010101010009, 29 tahun, laki-laki, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 081234567890, golongan darah O, nomor rekam medis 667173, datang pada 27/08/2023. Diperiksa oleh Dr. Farida Lestari, KTP 3173010202020006. Keluhan: asma, keluhan tambahan: sesak napas. diberikan antihistamin. Dokter rujukan: Dr. Lukman. pasien merasa lebih baik setelah obat diberikan"
"Pasien Yanti Kartika, KTP 3276010101010005, 31 tahun, laki-laki, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 082234567654, golongan darah B, nomor rekam medis 994257, datang pada 4/08/2023. Diperiksa oleh Dr. Andika Pratama, KTP 3173010202020007. Keluhan: hipertensi, keluhan tambahan: kelelahan. diberikan inhaler. Dokter rujukan: Dr. Lukman. perlu dilakukan tes darah ulang"
"Pasien Rahmat Widodo, KTP 3276010101010003, 22 tahun, perempuan, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 081987654321, golongan darah A, nomor rekam medis 707334, datang pada 3/08/2023. Diperiksa oleh Dr. Wahyu Nugraha, KTP 3173010202020004. Keluhan: kolesterol tinggi, keluhan tambahan: sulit tidur. diberikan insulin. Dokter rujukan: Dr. Lukman. keluhan masih tetap dirasakan, perlu observasi lebih lanjut"
"Pasien Yanti Kartika, KTP 3276010101010003, 50 tahun, perempuan, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 081987654321, golongan darah A, nomor rekam medis 772343, datang pada 3/07/2023. Diperiksa oleh Dr. Sumarno Hadi, KTP 3173010202020001. Keluhan: nyeri punggung, keluhan tambahan: batuk. diberikan insulin. Dokter rujukan: Dr. Diah. direkomendasikan untuk menjaga pola makan dan olahraga"
"Pasien Tono Suryono, KTP 3276010101010001, 73 tahun, laki-laki, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 081987654321, golongan darah A, nomor rekam medis 522860, datang pada 3/08/2023. Diperiksa oleh Dr. Budi Santoso, KTP 3173010202020008. Keluhan: gagal jantung, keluhan tambahan: sakit pinggang. direkomendasikan fisioterapi. Dokter rujukan: Dr. Diah. direkomendasikan untuk menjaga pola makan dan olahraga"
"Pasien Andi Suryana, KTP 3276010101010003, 59 tahun, perempuan, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 085643217890, golongan darah O, nomor rekam medis 649645, datang pada 27/08/2023. Diperiksa oleh Dr. Budi Santoso, KTP 3173010202020006. Keluhan: alergi musiman, keluhan tambahan: pusing. diberikan antibiotik selama 5 hari. Dokter rujukan: Dr. Hasan. akan dirujuk ke spesialis untuk evaluasi lebih lanjut"
"Pasien Nita Susanti, KTP 3276010101010004, 50 tahun, perempuan, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 085643217890, golongan darah B, nomor rekam medis 374981, datang pada 11/07/2023. Diperiksa oleh Dr. Gunawan Putra, KTP 3173010202020004. Keluhan: diabetes mellitus tipe 2, keluhan tambahan: sulit tidur. diberikan inhaler. Dokter rujukan: Dr. Dian. diminta mengurangi konsumsi garam dan lemak"
"Pasien Lestari Nugroho, KTP 3276010101010002, 76 tahun, laki-laki, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 081987654321, golongan darah A, nomor rekam medis 551820, datang pada 19/09/2023. Diperiksa oleh Dr. Wahyu Nugraha, KTP 3173010202020001. Keluhan: gagal jantung, keluhan tambahan: sakit pinggang. diberikan antibiotik selama 5 hari. Dokter rujukan: Dr. Hasan. perlu dilakukan tes darah ulang"
"Pasien Lestari Nugroho, KTP 3276010101010007, 66 tahun, laki-laki, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 081987654321, golongan darah O, nomor rekam medis 473276, datang pada 22/07/2023. Diperiksa oleh Dr. Gunawan Putra, KTP 3173010202020008. Keluhan: nyeri punggung, keluhan tambahan: sesak napas. diberikan obat antihipertensi. Dokter rujukan: Dr. Lukman. diminta mengurangi konsumsi garam dan lemak"
"Pasien Nita Susanti, KTP 3276010101010009, 69 tahun, laki-laki, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 081987654321, golongan darah O, nomor rekam medis 571813, datang pada 19/08/2023. Diperiksa oleh Dr. Farida Lestari, KTP 3173010202020005. Keluhan: asma, keluhan tambahan: kelelahan. disarankan mengubah pola makan. Dokter rujukan: Dr. Dian. akan dirujuk ke spesialis untuk evaluasi lebih lanjut"
"Pasien Yanti Kartika, KTP 3276010101010010, 33 tahun, perempuan, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 085643217890, golongan darah O, nomor rekam medis 949971, datang pada 19/08/2023. Diperiksa oleh Dr. Aditya Widjaja, KTP 3173010202020009. Keluhan: diabetes mellitus tipe 2, keluhan tambahan: nyeri kepala. diberikan antihistamin. Dokter rujukan: Dr. Diah. perlu dilakukan tes darah ulang"
"Pasien Wawan Purnomo, KTP 3276010101010004, 58 tahun, perempuan, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 081987654321, golongan darah O, nomor rekam medis 223887, datang pada 16/08/2023. Diperiksa oleh Dr. Budi Santoso, KTP 3173010202020007. Keluhan: nyeri punggung, keluhan tambahan: sakit pinggang. diberikan antihistamin. Dokter rujukan: Dr. Dian. dijadwalkan untuk pemeriksaan lanjutan bulan depan"
"Pasien Dewi Santika, KTP 3276010101010002, 37 tahun, perempuan, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 082234567654, golongan darah O, nomor rekam medis 793364, datang pada 27/09/2023. Diperiksa oleh Dr. Aditya Widjaja, KTP 3173010202020009. Keluhan: hipertensi, keluhan tambahan: mual. diberikan resep anti migrain. Dokter rujukan: Dr. Diah. pasien perlu kontrol lagi dalam 1 minggu"
"Pasien Yanti Kartika, KTP 3276010101010010, 65 tahun, laki-laki, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 082234567654, golongan darah A, nomor rekam medis 966284, datang pada 4/08/2023. Diperiksa oleh Dr. Aditya Widjaja, KTP 3173010202020007. Keluhan: asma, keluhan tambahan: kelelahan. diberikan resep anti migrain. Dokter rujukan: Dr. Hasan. diberikan edukasi terkait penyakit"
"Pasien Yanti Kartika, KTP 3276010101010005, 52 tahun, laki-laki, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 081234567890, golongan darah O, nomor rekam medis 534338, datang pada 13/08/2023. Diperiksa oleh Dr. Wahyu Nugraha, KTP 3173010202020008. Keluhan: migrain, keluhan tambahan: mual. disarankan mengubah pola makan. Dokter rujukan: Dr. Dian. keluhan masih tetap dirasakan, perlu observasi lebih lanjut"
"Pasien Wawan Purnomo, KTP 3276010101010010, 24 tahun, perempuan, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 081234567890, golongan darah B, nomor rekam medis 480514, datang pada 8/08/2023. Diperiksa oleh Dr. Sinta Wulandari, KTP 3173010202020001. Keluhan: gagal jantung, keluhan tambahan: pusing. diberikan diuretik. Dokter rujukan: Dr. Hasan. pasien merasa lebih baik setelah obat diberikan"
"Pasien Tono Suryono, KTP 3276010101010010, 79 tahun, perempuan, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 081234567890, golongan darah B, nomor rekam medis 397580, datang pada 8/08/2023. Diperiksa oleh Dr. Budi Santoso, KTP 3173010202020001. Keluhan: nyeri punggung, keluhan tambahan: mual. diberikan diuretik. Dokter rujukan: Dr. Dian. keluhan masih tetap dirasakan, perlu observasi lebih lanjut"
"Pasien Lestari Nugroho, KTP 3276010101010005, 20 tahun, laki-laki, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 085643217890, golongan darah B, nomor rekam medis 277670, datang pada 18/07/2023. Diperiksa oleh Dr. Gunawan Putra, KTP 3173010202020002. Keluhan: gagal jantung, keluhan tambahan: pusing. diberikan inhaler. Dokter rujukan: Dr. Diah. keluhan masih tetap dirasakan, perlu observasi lebih lanjut"
"Pasien Lestari Nugroho, KTP 3276010101010002, 31 tahun, laki-laki, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 085643217890, golongan darah AB, nomor rekam medis 579219, datang pada 3/09/2023. Diperiksa oleh Dr. Rini Maharani, KTP 3173010202020009. Keluhan: alergi musiman, keluhan tambahan: pusing. diberikan inhaler. Dokter rujukan: Dr. Dian. keluhan masih tetap dirasakan, perlu observasi lebih lanjut"
"Pasien Nita Susanti, KTP 3276010101010010, 39 tahun, laki-laki, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 081987654321, golongan darah O, nomor rekam medis 130390, datang pada 11/08/2023. Diperiksa oleh Dr. Rini Maharani, KTP 3173010202020002. Keluhan: asma, keluhan tambahan: batuk. disarankan mengubah pola makan. Dokter rujukan: Dr. Dian. perlu dilakukan tes darah ulang"
"Pasien Yudi Raharjo, KTP 3276010101010003, 69 tahun, perempuan, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 082234567654, golongan darah O, nomor rekam medis 738549, datang pada 25/07/2023. Diperiksa oleh Dr. Sinta Wulandari, KTP 3173010202020005. Keluhan: gagal jantung, keluhan tambahan: nyeri kepala. diberikan resep anti migrain. Dokter rujukan: Dr. Dian. pasien perlu kontrol lagi dalam 1 minggu"
"Pasien Wawan Purnomo, KTP 3276010101010008, 46 tahun, laki-laki, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 081234567890, golongan darah A, nomor rekam medis 678072, datang pada 1/09/2023. Diperiksa oleh Dr. Gunawan Putra, KTP 3173010202020002. Keluhan: hipertensi, keluhan tambahan: sakit pinggang. disarankan mengubah pola makan. Dokter rujukan: Dr. Diah. diberikan edukasi terkait penyakit"
"Pasien Siti Aminah, KTP 3276010101010001, 49 tahun, laki-laki, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 085643217890, golongan darah B, nomor rekam medis 688102, datang pada 8/07/2023. Diperiksa oleh Dr. Farida Lestari, KTP 3173010202020001. Keluhan: gagal jantung, keluhan tambahan: sulit tidur. diberikan diuretik. Dokter rujukan: Dr. Lukman. keluhan masih tetap dirasakan, perlu observasi lebih lanjut"
"Pasien Rahmat Widodo, KTP 3276010101010001, 20 tahun, laki-laki, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 085643217890, golongan darah B, nomor rekam medis 236456, datang pada 28/08/2023. Diperiksa oleh Dr. Budi Santoso, KTP 3173010202020003. Keluhan: anemia, keluhan tambahan: nyeri kepala. diberikan antihistamin. Dokter rujukan: Dr. Lukman. direkomendasikan untuk menjaga pola makan dan olahraga"
"Pasien Yanti Kartika, KTP 3276010101010001, 65 tahun, laki-laki, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 085643217890, golongan darah AB, nomor rekam medis 433450, datang pada 19/09/2023. Diperiksa oleh Dr. Budi Santoso, KTP 3173010202020007. Keluhan: gagal jantung, keluhan tambahan: kelelahan. diberikan antihistamin. Dokter rujukan: Dr. Hasan. diberikan edukasi terkait penyakit"
"Pasien Wawan Purnomo, KTP 3276010101010004, 29 tahun, laki-laki, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 081234567890, golongan darah B, nomor rekam medis 845902, datang pada 22/07/2023. Diperiksa oleh Dr. Sumarno Hadi, KTP 3173010202020009. Keluhan: hipertensi, keluhan tambahan: kelelahan. diberikan resep anti migrain. Dokter rujukan: Dr. Dian. diminta mengurangi konsumsi garam dan lemak"
"Pasien Lestari Nugroho, KTP 3276010101010010, 42 tahun, laki-laki, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 085643217890, golongan darah A, nomor rekam medis 924354, datang pada 22/07/2023. Diperiksa oleh Dr. Andika Pratama, KTP 3173010202020010. Keluhan: migrain, keluhan tambahan: pusing. disarankan mengubah pola makan. Dokter rujukan: Dr. Dian. diberikan edukasi terkait penyakit"
"Pasien Tono Suryono, KTP 3276010101010007, 23 tahun, perempuan, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 081987654321, golongan darah O, nomor rekam medis 275751, datang pada 25/08/2023. Diperiksa oleh Dr. Budi Santoso, KTP 3173010202020008. Keluhan: asma, keluhan tambahan: nyeri kepala. direkomendasikan fisioterapi. Dokter rujukan: Dr. Lukman. pasien perlu kontrol lagi dalam 1 minggu"
"Pasien Rahmat Widodo, KTP 3276010101010001, 69 tahun, perempuan, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 081987654321, golongan darah AB, nomor rekam medis 688213, datang pada 7/08/2023. Diperiksa oleh Dr. Andika Pratama, KTP 3173010202020008. Keluhan: kolesterol tinggi, keluhan tambahan: sulit tidur. diberikan suplemen zat besi. Dokter rujukan: Dr. Dian. pasien perlu kontrol lagi dalam 1 minggu"
"Pasien Lestari Nugroho, KTP 3276010101010006, 25 tahun, laki-laki, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 085643217890, golongan darah AB, nomor rekam medis 306137, datang pada 26/08/2023. Diperiksa oleh Dr. Aditya Widjaja, KTP 3173010202020008. Keluhan: alergi musiman, keluhan tambahan: sesak napas. diberikan insulin. Dokter rujukan: Dr. Hasan. akan dirujuk ke spesialis untuk evaluasi lebih lanjut"
"Pasien Dewi Santika, KTP 3276010101010010, 56 tahun, perempuan, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 085643217890, golongan darah A, nomor rekam medis 219639, datang pada 11/08/2023. Diperiksa oleh Dr. Budi Santoso, KTP 3173010202020010. Keluhan: migrain, keluhan tambahan: mual. diberikan insulin. Dokter rujukan: Dr. Lukman. diminta mengurangi konsumsi garam dan lemak"
"Pasien Nita Susanti, KTP 3276010101010010, 75 tahun, perempuan, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 081987654321, golongan darah AB, nomor rekam medis 489885, datang pada 23/09/2023. Diperiksa oleh Dr. Sari Utami, KTP 3173010202020004. Keluhan: nyeri punggung, keluhan tambahan: kelelahan. diberikan obat antihipertensi. Dokter rujukan: Dr. Diah. direkomendasikan untuk menjaga pola makan dan olahraga"
"Pasien Rahmat Widodo, KTP 3276010101010006, 43 tahun, laki-laki, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 081987654321, golongan darah O, nomor rekam medis 672599, datang pada 22/07/2023. Diperiksa oleh Dr. Aditya Widjaja, KTP 3173010202020010. Keluhan: gagal jantung, keluhan tambahan: pusing. direkomendasikan fisioterapi. Dokter rujukan: Dr. Dian. perlu dilakukan tes darah ulang"
"Pasien Lestari Nugroho, KTP 3276010101010008, 47 tahun, laki-laki, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 085643217890, golongan darah O, nomor rekam medis 103322, datang pada 1/09/2023. Diperiksa oleh Dr. Andika Pratama, KTP 3173010202020003. Keluhan: diabetes mellitus tipe 2, keluhan tambahan: nyeri kepala. diberikan suplemen zat besi. Dokter rujukan: Dr. Dian. diminta mengurangi konsumsi garam dan lemak"
"Pasien Wawan Purnomo, KTP 3276010101010005, 27 tahun, perempuan, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 082234567654, golongan darah O, nomor rekam medis 611468, datang pada 27/08/2023. Diperiksa oleh Dr. Budi Santoso, KTP 3173010202020003. Keluhan: migrain, keluhan tambahan: batuk. diberikan diuretik. Dokter rujukan: Dr. Hasan. diminta mengurangi konsumsi garam dan lemak"
"Pasien Yudi Raharjo, KTP 3276010101010005, 30 tahun, laki-laki, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 081234567890, golongan darah A, nomor rekam medis 124931, datang pada 10/07/2023. Diperiksa oleh Dr. Wahyu Nugraha, KTP 3173010202020009. Keluhan: anemia, keluhan tambahan: pusing. direkomendasikan fisioterapi. Dokter rujukan: Dr. Lukman. dijadwalkan untuk pemeriksaan lanjutan bulan depan"
"Pasien Dewi Santika, KTP 3276010101010007, 71 tahun, laki-laki, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 081987654321, golongan darah AB, nomor rekam medis 901577, datang pada 10/09/2023. Diperiksa oleh Dr. Aditya Widjaja, KTP 3173010202020002. Keluhan: alergi musiman, keluhan tambahan: batuk. diberikan diuretik. Dokter rujukan: Dr. Hasan. diberikan edukasi terkait penyakit"
"Pasien Yanti Kartika, KTP 3276010101010002, 38 tahun, laki-laki, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 081234567890, golongan darah AB, nomor rekam medis 124945, datang pada 20/09/2023. Diperiksa oleh Dr. Farida Lestari, KTP 3173010202020004. Keluhan: infeksi saluran pernapasan, keluhan tambahan: sulit tidur. direkomendasikan fisioterapi. Dokter rujukan: Dr. Dian. keluhan masih tetap dirasakan, perlu observasi lebih lanjut"
"Pasien Wawan Purnomo, KTP 3276010101010010, 72 tahun, laki-laki, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 081987654321, golongan darah O, nomor rekam medis 432798, datang pada 1/09/2023. Diperiksa oleh Dr. Wahyu Nugraha, KTP 3173010202020001. Keluhan: kolesterol tinggi, keluhan tambahan: batuk. diberikan inhaler. Dokter rujukan: Dr. Lukman. keluhan sudah berkurang setelah pengobatan"
"Pasien Wawan Purnomo, KTP 3276010101010008, 24 tahun, laki-laki, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 085643217890, golongan darah A, nomor rekam medis 180205, datang pada 24/07/2023. Diperiksa oleh Dr. Budi Santoso, KTP 3173010202020001. Keluhan: alergi musiman, keluhan tambahan: nyeri kepala. diberikan suplemen zat besi. Dokter rujukan: Dr. Diah. direkomendasikan untuk menjaga pola makan dan olahraga"
"Pasien Siti Aminah, KTP 3276010101010009, 58 tahun, perempuan, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 085643217890, golongan darah B, nomor rekam medis 888802, datang pada 2/07/2023. Diperiksa oleh Dr. Budi Santoso, KTP 3173010202020001. Keluhan: hipertensi, keluhan tambahan: batuk. diberikan resep anti migrain. Dokter rujukan: Dr. Diah. pasien perlu kontrol lagi dalam 1 minggu"
"Pasien Lestari Nugroho, KTP 3276010101010002, 46 tahun, laki-laki, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 085643217890, golongan darah B, nomor rekam medis 957393, datang pada 22/07/2023. Diperiksa oleh Dr. Aditya Widjaja, KTP 3173010202020003. Keluhan: anemia, keluhan tambahan: batuk. diberikan antibiotik selama 5 hari. Dokter rujukan: Dr. Hasan. pasien merasa lebih baik setelah obat diberikan"
"Pasien Tono Suryono, KTP 3276010101010003, 32 tahun, perempuan, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 085643217890, golongan darah O, nomor rekam medis 415224, datang pada 12/08/2023. Diperiksa oleh Dr. Andika Pratama, KTP 3173010202020002. Keluhan: gagal jantung, keluhan tambahan: kelelahan. diberikan suplemen zat besi. Dokter rujukan: Dr. Lukman. pasien perlu kontrol lagi dalam 1 minggu"
"Pasien Lestari Nugroho, KTP 3276010101010004, 75 tahun, laki-laki, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 082234567654, golongan darah A, nomor rekam medis 683988, datang pada 15/08/2023. Diperiksa oleh Dr. Gunawan Putra, KTP 3173010202020010. Keluhan: diabetes mellitus tipe 2, keluhan tambahan: pusing. diberikan diuretik. Dokter rujukan: Dr. Dian. pasien perlu kontrol lagi dalam 1 minggu"
"Pasien Siti Aminah, KTP 3276010101010010, 64 tahun, perempuan, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 081987654321, golongan darah A, nomor rekam medis 170081, datang pada 14/09/2023. Diperiksa oleh Dr. Sari Utami, KTP 3173010202020010. Keluhan: anemia, keluhan tambahan: pusing. diberikan antibiotik selama 5 hari. Dokter rujukan: Dr. Hasan. pasien perlu kontrol lagi dalam 1 minggu"
